canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value
CCOC(=O)CCCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,CHEMBL104369,=,=,Ki,nM,2.3,Ki,M,2.3E-9
Cc1cc(Cc2cnc(N)nc2N)cc(C(C)(C)C)c1N,CHEMBL120920,=,=,IC50,nM,90.0,I50,M,9E-8
CCc1cc(Cc2cnc(N)nc2N)cc(CC)c1OC,CHEMBL23250,=,=,IC50,nM,14.0,I50,M,1.4E-8
CCc1cc(Cc2cc(Cc3cc(CC)c(O)c(CC)c3)c(N)nc2N)cc(CC)c1O,CHEMBL127987,~,~,IC50,nM,1000000.0,I50,M,0.001
CCc1cc(Cc2cc(Cc3cc(CC)c(O)c(CC)c3)c(N)nc2N)cc(CC)c1O,CHEMBL127987,=,=,Inhibition,%,31.0,Inhibition,%,31.0
CCc1cc(Cc2cc(Cc3cc(CC)c(O)c(CC)c3)c(N)nc2N)cc(CC)c1O,CHEMBL127987,=,=,Inhibition,%,65.0,Inhibition,%,65.0
CCc1cc(Cc2cc(Cc3cc(CC)c(O)c(CC)c3)c(N)nc2N)cc(CC)c1O,CHEMBL127987,~,~,IC50,nM,1700000.0,I50,M,0.0017
CCCc1cc(Cc2cnc(N)nc2N)cc(CCC)c1O,CHEMBL23746,=,=,IC50,nM,7.0,I50,M,7E-9
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1N(C)C,CHEMBL293299,=,=,Activity,,7.71,Activity,,7.71
COc1ccc(Cc2cnc(N)nc2N)cc1,CHEMBL19023,=,=,Activity,,6.82,Activity,,6.82
Nc1ncc(Cc2ccc(OCc3ccccc3)cc2)c(N)n1,CHEMBL56146,=,=,Activity,,6.89,Activity,,6.89
Nc1ncc(Cc2cccc(I)c2)c(N)n1,CHEMBL29712,=,=,Activity,,7.23,Activity,,7.23
COc1cc(Cc2cnc(N)nc2N)ccc1OS(C)(=O)=O,CHEMBL57383,=,=,Activity,,7.94,Activity,,7.94
Nc1ncc(Cc2cccc(O)c2)c(N)n1,CHEMBL30734,=,=,Activity,,6.47,Activity,,6.47
COc1cc(Cc2cnc(N)cc2N)cc(OC)c1O,CHEMBL129087,=,=,IC50,nM,37000.0,I50,M,0.000037
CCc1cc(Cc2ccc(N)nc2N)cc(CC)c1O,CHEMBL127797,=,=,IC50,nM,12000000.0,I50,M,0.012
COc1cc(Cc2cc(Cc3cc(OC)c(O)c(OC)c3)c(N)nc2N)cc(OC)c1O,CHEMBL126705,~,~,IC50,nM,40000000.0,I50,M,0.04
COc1cc(Cc2cc(Cc3cc(OC)c(O)c(OC)c3)c(N)nc2N)cc(OC)c1O,CHEMBL126705,=,=,Inhibition,%,29.0,Inhibition,%,29.0
Nc1ncc(Cc2cc(Cl)c(N)c(Cl)c2)c(N)n1,CHEMBL120807,=,=,IC50,nM,110.0,I50,M,1.1E-7
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22,=,=,IC50,nM,7.0,I50,M,7E-9
CCc1cc(Cc2cnc(N)nc2N)cc(CC)c1O,CHEMBL25817,=,=,IC50,nM,16.0,I50,M,1.6E-8
Cc1cc(Cc2cnc(N)nc2N)cc(C(C)(C)C)c1O,CHEMBL23384,=,=,IC50,nM,110.0,I50,M,1.1E-7
CCCc1cc(Cc2cnc(N)nc2N)cc(CCC)c1OC,CHEMBL26337,=,=,IC50,nM,44.0,I50,M,4.4E-8
CCc1cc(Cc2cnc(N)nc2N)cc(CC)c1CC,CHEMBL57582,=,=,Activity,,7.82,Activity,,7.82
COc1c(C)cc(Cc2cnc(N)nc2N)cc1C,CHEMBL287553,=,=,IC50,nM,150.0,I50,M,1.5E-7
Nc1ncc(Cc2ccc([N+](=O)[O-])cc2)c(N)n1,CHEMBL19414,=,=,Activity,,6.2,Activity,,6.2
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1SC,CHEMBL56318,=,=,Activity,,8.07,Activity,,8.07
COc1ccc(Cc2cnc(N)nc2N)cc1C(F)(F)F,CHEMBL277391,=,=,Activity,,7.69,Activity,,7.69
COc1cc(CC2C=CC(N)=NC2=O)cc(OC)c1O,CHEMBL126299,~,~,IC50,nM,1030000.0,I50,M,0.00103
COc1cc(CC2C=CC(N)=NC2=O)cc(OC)c1O,CHEMBL126299,=,=,Inhibition,%,0.0,Inhibition,%,0.0
Nc1ncc(Cc2ccc(O)c(O)c2)c(N)n1,CHEMBL279273,=,=,Activity,,6.46,Activity,,6.46
Nc1ncc(Cc2ccc(Br)cc2)c(N)n1,CHEMBL19293,=,=,Activity,,6.82,Activity,,6.82
Nc1ncc(Cc2cccc(F)c2)c(N)n1,CHEMBL19772,=,=,Activity,,6.23,Activity,,6.23
Nc1ncc(Cc2cccc(Br)c2)c(N)n1,CHEMBL18898,=,=,Activity,,6.96,Activity,,6.96
COC(=O)CCCCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,CHEMBL105283,=,=,Ki,nM,4.1,Ki,M,4.1E-9
CCOc1c(CC)cc(Cc2cnc(N)nc2N)cc1CC,CHEMBL332481,=,=,IC50,nM,20.0,I50,M,2E-8
COc1c(C(C)C)cc(Cc2cnc(N)nc2N)cc1C(C)C,CHEMBL280374,=,=,IC50,nM,160.0,I50,M,1.6E-7
COc1c(C)cc(Cc2cnc(N)nc2N)cc1C(C)(C)C,CHEMBL24155,=,=,IC50,nM,200.0,I50,M,2E-7
Nc1ncc(Cc2ccc(OC(F)(F)F)cc2)c(N)n1,CHEMBL19771,=,=,Activity,,6.57,Activity,,6.57
CCc1cc(Cc2cnc(N)nc2N)cc(CC)c1OCCO,CHEMBL432987,=,=,IC50,nM,16.0,I50,M,1.6E-8
CC(=O)Nc1ccc(Cc2cnc(N)nc2N)cc1,CHEMBL19113,=,=,Activity,,6.89,Activity,,6.89
CCCCCCCCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,CHEMBL56282,=,=,Activity,,7.2,Activity,,7.2
COc1cc(Cc2cnc(N)nc2N)ccc1O,CHEMBL59369,=,=,Activity,,7.54,Activity,,7.54
COCCOc1ccc(Cc2cnc(N)nc2N)cc1OC,CHEMBL56757,=,=,Activity,,7.77,Activity,,7.77
COCc1cccc(Cc2cnc(N)nc2N)c1,CHEMBL31462,=,=,Activity,,6.59,Activity,,6.59
COc1cc(CNc2cccc(N)n2)cc(OC)c1O,CHEMBL273773,=,=,I50 M,,2000.0,I50 M,,2000.0
COc1cc(CNc2cccc(N)n2)cc(OC)c1O,CHEMBL273773,=,=,Inhibition,%,29.0,Inhibition,%,29.0
COc1cc(CNc2cccc(N)n2)cc(OC)c1O,CHEMBL273773,=,=,Inhibition,%,25.0,Inhibition,%,25.0
COc1cc(CNc2cccc(N)n2)cc(OC)c1O,CHEMBL273773,=,=,I50 M,,1000.0,I50 M,,1000.0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCC(=O)O,CHEMBL104675,=,=,Ki,nM,16.0,Ki,M,1.6E-8
COc1cc(Cc2cnc(N)nc2N)cc(OCCCCCC(=O)O)c1OC,CHEMBL14001,=,=,Kd,,0.063,Kd,,0.063
COc1cc(Cc2cnc(N)nc2N)cc(OCCCCCC(=O)O)c1OC,CHEMBL14001,=,=,Ki,nM,0.024,Ki,M,2.4E-11
CCCCCCOc1cccc(Cc2cnc(N)nc2N)c1,CHEMBL31547,=,=,Activity,,6.86,Activity,,6.86
CCCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1,CHEMBL57034,=,=,Activity,,7.69,Activity,,7.69
Cc1ccc(Cc2cnc(N)nc2N)cc1,CHEMBL416177,=,=,Activity,,6.48,Activity,,6.48
COC(=O)CCCCCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,CHEMBL318078,=,=,Ki,nM,9.8,Ki,M,9.8E-9
CCCc1cc(Cc2cnc(N)nc2N)cc(CC)c1OC,CHEMBL279455,=,=,IC50,nM,12.0,I50,M,1.2E-8
COc1cccc(Cc2cnc(N)nc2N)c1,CHEMBL18967,=,=,Activity,,6.93,Activity,,6.93
Nc1ncc(Cc2ccccc2)c(N)n1,CHEMBL265493,=,=,Activity,,6.18,Activity,,6.18
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCCCC(=O)O,CHEMBL321942,=,=,Ki,nM,2.2,Ki,M,2.2E-9
CCOc1c(C)c(C)c(Cc2cnc(N)nc2N)c(C)c1C,CHEMBL332518,=,=,IC50,nM,380.0,I50,M,3.8E-7
CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1OCC,CHEMBL116183,=,=,IC50,nM,3.0,I50,M,3E-9
CCCCCCOc1ccc(Cc2cnc(N)nc2N)cc1,CHEMBL31912,=,=,Activity,,6.07,Activity,,6.07
Nc1ncc(Cc2ccc(-c3ccccc3)cc2)c(N)n1,CHEMBL56101,=,=,Activity,,6.93,Activity,,6.93
COc1cc(Cc2cnc(N)cc2N)cc(OC)c1OC,CHEMBL129043,=,=,I50 M,,140.0,I50 M,,140.0
CCCCC(CC)COc1c(CC)cc(Cc2cnc(N)nc2N)cc1CC,CHEMBL118367,=,=,IC50,nM,150.0,I50,M,1.5E-7
CCc1cc(Cc2cnc(N)nc2N)cc(C)c1OC,CHEMBL23447,=,=,IC50,nM,53.0,I50,M,5.3E-8
Nc1ncc(Cc2ccc(F)cc2)c(N)n1,CHEMBL19780,=,=,Activity,,6.35,Activity,,6.35
Cc1cc(Cc2cnc(N)nc2N)cc(C)c1N,CHEMBL118597,=,=,IC50,nM,180.0,I50,M,1.8E-7
CCc1cc(Cc2cnc(N)nc2N)cc(C(C)CC)c1N,CHEMBL418865,=,=,IC50,nM,21.0,I50,M,2.1E-8
Cc1cc(Cc2cnc(N)nc2N)cc(C)c1O,CHEMBL417833,=,=,IC50,nM,70.0,I50,M,7E-8
CCCc1cc(Cc2cnc(N)nc2N)cc(CC)c1O,CHEMBL25888,=,=,IC50,nM,6.0,I50,M,6E-9
CN(C)c1ccc(Cc2cnc(N)nc2N)cc1,CHEMBL19383,=,=,Activity,,6.78,Activity,,6.78
CCCCCCCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,CHEMBL57160,=,=,Activity,,7.16,Activity,,7.16
COc1cc(Cc2cnc(N)nc2N)ccc1N,CHEMBL122468,=,=,IC50,nM,140.0,I50,M,1.4E-7
Nc1ncc(Cc2cc(I)c(O)c(I)c2)c(N)n1,CHEMBL118480,=,=,IC50,nM,10.0,I50,M,1E-8
Nc1ncc(Cc2ccc3c(c2)OCO3)c(N)n1,CHEMBL56129,=,=,Activity,,7.13,Activity,,7.13
COc1ccc(Cc2cnc(N)nc2N)cc1OS(C)(=O)=O,CHEMBL300114,=,=,Activity,,7.8,Activity,,7.8
COc1cc(Cc2ccc(N)nc2N)cc(OC)c1O,CHEMBL128600,~,~,IC50,nM,10000000.0,I50,M,0.01
COc1cc(Cc2ccc(N)nc2N)cc(OC)c1O,CHEMBL128600,=,=,Inhibition,%,0.0,Inhibition,%,0.0
Nc1ncc(Cc2cc(I)c(OCCCOc3ccccc3)c(I)c2)c(N)n1,CHEMBL334021,=,=,IC50,nM,29.0,I50,M,2.9E-8
CCCCCCCCOc1cccc(Cc2cnc(N)nc2N)c1,CHEMBL31235,=,=,Activity,,6.25,Activity,,6.25
Nc1ccc(Cc2cnc(N)nc2N)cc1,CHEMBL19672,=,=,Activity,,6.3,Activity,,6.3
CCCCOCc1cccc(Cc2cnc(N)nc2N)c1,CHEMBL281760,=,=,Activity,,6.55,Activity,,6.55
CC(C)c1cc(Cc2cnc(N)c(Br)c2N)cc(C(C)C)c1O,CHEMBL126556,=,=,IC50,nM,3300000.0,I50,M,0.0033
COC(=O)COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL266611,=,=,Ki,nM,11.0,Ki,nM,11.0
COC(=O)CCCCCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL13796,=,=,Ki,nM,0.86,Ki,M,8.6E-10
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1N,CHEMBL122351,=,=,IC50,nM,10.0,I50,M,1E-8
COc1c(I)cc(Cc2cnc(N)nc2N)cc1I,CHEMBL120366,=,=,IC50,nM,10.0,I50,M,1E-8
CCCCCCCCCCCCOc1c(CC)cc(Cc2cnc(N)nc2N)cc1CC,CHEMBL120368,=,=,IC50,nM,1750.0,I50,M,0.00000175
COc1ccc(Cc2cnc(N)nc2N)cc1O,CHEMBL301089,=,=,Activity,,6.84,Activity,,6.84
COc1cc(Cc2cnc(N)c(Br)c2N)cc(OC)c1O,CHEMBL340213,~,~,IC50,nM,42000000.0,I50,M,0.042
COc1cc(Cc2cnc(N)c(Br)c2N)cc(OC)c1O,CHEMBL340213,=,=,Inhibition,%,11.0,Inhibition,%,11.0
CCc1cc(Cc2cnc(N)nc2N)cc(C)c1N,CHEMBL119378,=,=,IC50,nM,48.0,I50,M,4.8E-8
COCCc1ccc(Cc2cnc(N)nc2N)cc1,CHEMBL431804,=,=,Activity,,6.4,Activity,,6.4
Cc1cccc(Cc2cnc(N)nc2N)c1,CHEMBL19406,=,=,Activity,,6.7,Activity,,6.7
COC(=O)CCCCCCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL13908,=,=,Ki,nM,1.9,Ki,nM,1.9
CCc1cc(Cc2cnc(N)nc2N)cc(CC)c1OCCOCc1ccccc1,CHEMBL116993,=,=,IC50,nM,15.0,I50,M,1.5E-8
CC(C)c1cc(Cc2cnc(N)nc2N)cc(C(C)C)c1O,CHEMBL440946,=,=,IC50,nM,32.0,I50,M,3.2E-8
CCCOc1cc(Cc2cnc(N)nc2N)cc(OCCC)c1,CHEMBL56468,=,=,Activity,,7.41,Activity,,7.41
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1Br,CHEMBL31891,=,=,Activity,,8.18,Activity,,8.18
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22,=,=,Kd,,1.0,Kd,,1.0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22,=,=,Ki,nM,1.3,Ki,M,1.3E-9
COc1cc(Cc2cnc(N)nc2N)cc(OCCC(=O)O)c1OC,CHEMBL13820,=,=,Kd,,0.29,Kd,,0.29
COc1cc(Cc2cnc(N)nc2N)cc(OCCC(=O)O)c1OC,CHEMBL13820,=,=,Ki,nM,0.37,Ki,M,3.7E-10
Nc1ncc(Cc2cccc(C(F)(F)F)c2)c(N)n1,CHEMBL19790,=,=,Activity,,7.02,Activity,,7.02
COCCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,CHEMBL32039,=,=,Activity,,8.35,Activity,,8.35
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCCC(=O)O,CHEMBL320596,=,=,Ki,nM,5.2,Ki,M,5.2E-9
COC(=O)CCCCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL13877,=,=,Ki,nM,0.76,Ki,M,7.6E-10
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,CHEMBL34259,=,=,Ki,nM,0.021,Ki,nM,0.021
CCc1cc(Cc2cnc(N)nc2N)cc(CC)c1N,CHEMBL333696,=,=,IC50,nM,3.2,I50,M,3.2E-9
Nc1ncc(Cc2cc(CO)cc(CO)c2)c(N)n1,CHEMBL31619,=,=,Activity,,6.31,Activity,,6.31
Nc1ncc(Cc2ccc(O)cc2)c(N)n1,CHEMBL56668,=,=,Activity,,6.45,Activity,,6.45
CS(=O)(=O)Oc1cccc(Cc2cnc(N)nc2N)c1,CHEMBL434787,=,=,Activity,,6.92,Activity,,6.92
CC(C)c1cc(Cc2cnc(N)cc2N)cc(C(C)C)c1O,CHEMBL126436,=,=,IC50,nM,114000.0,I50,M,0.000114
COc1cc(Cc2cnc(N)nc2N)cc(OCCCCCCC(=O)O)c1OC,CHEMBL274430,=,=,Kd,,0.13,Kd,,0.13
COc1cc(Cc2cnc(N)nc2N)cc(OCCCCCCC(=O)O)c1OC,CHEMBL274430,=,=,Ki,nM,0.05,Ki,M,5E-11
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1O,CHEMBL1181,=,=,IC50,nM,11.0,I50,M,1.1E-8
CCCCCCCOc1cccc(Cc2cnc(N)nc2N)c1,CHEMBL285209,=,=,Activity,,6.39,Activity,,6.39
C=C(C)c1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,CHEMBL57787,=,=,Activity,,8.12,Activity,,8.12
COc1cc(Cc2cnc(N)c(F)c2N)cc(OC)c1O,CHEMBL129710,=,=,IC50,nM,510000.0,I50,M,0.00051
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCCCCC(=O)O,CHEMBL105006,=,=,Ki,nM,3.1,Ki,M,3.1E-9
COc1cc(Cc2cnc(N)nc2N)cc(OCCCC(=O)O)c1OC,CHEMBL418347,=,=,Kd,,0.15,Kd,,0.15
COc1cc(Cc2cnc(N)nc2N)cc(OCCCC(=O)O)c1OC,CHEMBL418347,=,=,Ki,nM,0.035,Ki,M,3.5E-11
COc1ccc(Cc2cnc(N)nc2N)cc1OC,CHEMBL19633,=,=,IC50,nM,62.0,I50,M,6.2E-8
NC(=O)COc1cccc(Cc2cnc(N)nc2N)c1,CHEMBL31055,=,=,Activity,,6.57,Activity,,6.57
CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1,CHEMBL60913,=,=,Activity,,7.69,Activity,,7.69
CCOC(=O)CCCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL14002,=,=,Ki,nM,0.47,Ki,M,4.7E-10
COc1cc(Cc2cnc(N)nc2N)cc(OCCCCC(=O)O)c1OC,CHEMBL13673,=,=,Kd,,0.13,Kd,,0.13
COc1cc(Cc2cnc(N)nc2N)cc(OCCCCC(=O)O)c1OC,CHEMBL13673,=,=,Ki,nM,0.066,Ki,M,6.6E-11
CCCCOc1c(CCC)cc(Cc2cnc(N)nc2N)cc1CCC,CHEMBL440334,=,=,IC50,nM,17.0,I50,M,1.7E-8
COc1cc(Cc2cnc(N)nc2N)ccc1O,CHEMBL59369,=,=,IC50,nM,66.0,I50,M,6.6E-8
CCCCCCCOc1ccc(Cc2cnc(N)nc2N)cc1,CHEMBL30937,=,=,Activity,,6.1,Activity,,6.1
Cc1cc(C)cc(Cc2cnc(N)nc2N)c1,CHEMBL56602,=,=,Activity,,7.04,Activity,,7.04
Nc1ncc(Cc2cccc(Cl)c2)c(N)n1,CHEMBL417095,=,=,Activity,,6.65,Activity,,6.65
CCc1cc(Cc2cnc(N)nc2N)cc(CC)c1OCCCOc1ccccc1,CHEMBL118877,=,=,IC50,nM,32.0,I50,M,3.2E-8
CC(C)c1cc(Cc2cnc(N)nc2N)cc(C(C)C)c1N,CHEMBL116650,=,=,IC50,nM,17.0,I50,M,1.7E-8
Nc1ncc(Cc2cc(Br)c(N)c(Br)c2)c(N)n1,CHEMBL333424,=,=,IC50,nM,28.0,I50,M,2.8E-8
CCCCOc1ccc(Cc2cnc(N)nc2N)cc1,CHEMBL32793,=,=,Activity,,6.89,Activity,,6.89
CC(=O)Nc1ccc(Cc2cnc(N)nc2N)cc1[N+](=O)[O-],CHEMBL18912,=,=,Activity,,6.97,Activity,,6.97
CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1-n1cccc1,CHEMBL280378,=,=,Activity,,7.66,Activity,,7.66
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1,CHEMBL287241,=,=,Activity,,7.71,Activity,,7.71
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22,=,=,Activity,,8.08,Activity,,8.08
COc1cc(Cc2c(N)ccnc2N)cc(OC)c1O,CHEMBL339571,~,~,IC50,nM,40000000.0,I50,M,0.04
COc1cc(Cc2c(N)ccnc2N)cc(OC)c1O,CHEMBL339571,=,=,Inhibition,%,26.0,Inhibition,%,26.0
CCOC(=O)COc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,CHEMBL322001,=,=,Ki,nM,2.7,Ki,M,2.7E-9
COc1c(C(C)(C)C)cc(Cc2cnc(N)nc2N)cc1C(C)(C)C,CHEMBL24374,=,=,IC50,nM,440.0,I50,M,4.4E-7
CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,CHEMBL21395,=,=,Activity,,7.35,Activity,,7.35
COc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,CHEMBL22146,=,=,Activity,,7.53,Activity,,7.53
Cc1cc(Cc2cnc(N)nc2N)cc(C(C)C)c1N,CHEMBL118237,=,=,IC50,nM,640.0,I50,M,6.4E-7
COCCOc1cccc(Cc2cnc(N)nc2N)c1,CHEMBL31351,=,=,Activity,,6.53,Activity,,6.53
COc1ccc(CN2CCc3nc4nc(N)nc(N)c4cc3C2)cc1,CHEMBL146925,=,=,IC50,nM,8000.0,IC50,uM,8.0
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,CHEMBL119,=,=,IC50,nM,7.0,IC50,uM,0.007
Nc1nc(N)c2cc3c(nc2n1)CCN(Cc1ccc(Cl)c(Cl)c1)C3,CHEMBL439816,=,=,IC50,nM,3000.0,IC50,uM,3.0
Nc1nc(N)c2cc3c(nc2n1)CCN(Cc1ccccc1)C3,CHEMBL421959,=,=,IC50,nM,10000.0,IC50,uM,10.0
Nc1nc(N)c2cc3c(nc2n1)CCN(C(=O)OCc1ccccc1)C3,CHEMBL148599,=,=,IC50,nM,3000.0,IC50,uM,3.0
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,CHEMBL34259,=,=,IC50,nM,6.0,IC50,uM,0.006
Nc1nc(N)c2cc3c(nc2n1)CCN(Cc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)C3,CHEMBL422316,=,=,IC50,nM,900.0,IC50,uM,0.9
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22,=,=,IC50,nM,20.0,IC50,uM,0.02
COc1cc(CN2CCc3nc4nc(N)nc(N)c4cc3C2)cc(OC)c1,CHEMBL357973,=,=,IC50,nM,3000.0,IC50,uM,3.0
Nc1nc(N)c2cc3c(nc2n1)CCN(Cc1ccc(Cl)cc1Cl)C3,CHEMBL149027,=,=,IC50,nM,3000.0,IC50,uM,3.0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22,=,=,IC50,nM,15.0,IC50,M,1.5E-8
CCc1[nH]c(N)nc2nc(C)c(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c1-2,CHEMBL154935,=,=,IC50,nM,22000.0,IC50,M,0.000022
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,CHEMBL34259,=,=,IC50,nM,7.0,IC50,M,7E-9
Cc1nc(N)nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c12,CHEMBL439973,=,=,IC50,nM,1800.0,IC50,M,0.0000018
Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,CHEMBL225072,=,=,IC50,nM,230000.0,IC50,M,0.00023
CCc1[nH]c(N)nc2ncc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c1-2,CHEMBL157434,=,=,IC50,nM,920.0,IC50,M,9.2E-7
Nc1nc(N)c2cc(CNc3ccc(Cl)c(Cl)c3)cnc2n1,CHEMBL147870,=,=,IC50,nM,250.0,IC50,nM,250.0
Nc1nc(N)c2cc(CNc3ccc(Cl)c(Cl)c3)cnc2n1,CHEMBL147870,=,=,IC50,nM,230.0,IC50,nM,230.0
COc1ccc(OC)c(CN(C)c2cnc3nc(N)nc(N)c3c2)c1,CHEMBL32113,=,=,IC50,nM,84.0,IC50,nM,84.0
COc1ccc(OC)c(CN(C)c2cnc3nc(N)nc(N)c3c2)c1,CHEMBL32113,=,=,IC50,nM,6.3,IC50,nM,6.3
Nc1nc(N)c2cc(CNc3cccc4ccccc34)cnc2n1,CHEMBL22924,=,=,IC50,nM,70.0,IC50,nM,70.0
Nc1nc(N)c2cc(CNc3cccc4ccccc34)cnc2n1,CHEMBL22924,=,=,IC50,nM,96.0,IC50,nM,96.0
COc1cc(N(C)Cc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC,CHEMBL142741,=,=,IC50,nM,240.0,IC50,nM,240.0
COc1cc(N(C)Cc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC,CHEMBL142741,=,=,IC50,nM,9.0,IC50,nM,9.0
Nc1nc(N)c2cc(CNc3cc(Cl)ccc3Cl)cnc2n1,CHEMBL145979,=,=,IC50,nM,440.0,IC50,nM,440.0
Nc1nc(N)c2cc(CNc3cc(Cl)ccc3Cl)cnc2n1,CHEMBL145979,=,=,IC50,nM,300.0,IC50,nM,300.0
COc1cc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC,CHEMBL50514,=,=,IC50,nM,13.0,IC50,nM,13.0
COc1cc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC,CHEMBL50514,=,=,IC50,nM,0.85,IC50,nM,0.85
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22,=,=,IC50,nM,12000.0,IC50,nM,12000.0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22,=,=,IC50,nM,2700.0,IC50,nM,2700.0
COc1ccc(NCc2cnc3nc(N)nc(N)c3c2)cc1OC,CHEMBL149301,=,=,IC50,nM,430.0,IC50,nM,430.0
COc1ccc(NCc2cnc3nc(N)nc(N)c3c2)cc1OC,CHEMBL149301,=,=,IC50,nM,330.0,IC50,nM,330.0
COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,CHEMBL7492,=,=,IC50,nM,31.0,IC50,nM,31.0
COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,CHEMBL7492,=,=,IC50,nM,11.0,IC50,nM,11.0
Nc1nc(N)c2cc(CNc3cc(Cl)c(Cl)c(Cl)c3)cnc2n1,CHEMBL358351,=,=,IC50,nM,350.0,IC50,nM,350.0
Nc1nc(N)c2cc(CNc3cc(Cl)c(Cl)c(Cl)c3)cnc2n1,CHEMBL358351,=,=,IC50,nM,980.0,IC50,nM,980.0
COc1cc(NCc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC,CHEMBL23288,=,=,IC50,nM,1500.0,IC50,nM,1500.0
COc1cc(NCc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC,CHEMBL23288,=,=,IC50,nM,300.0,IC50,nM,300.0
COc1cccc(NCc2cnc3nc(N)nc(N)c3c2)c1,CHEMBL356279,=,=,IC50,nM,520.0,IC50,nM,520.0
COc1cccc(NCc2cnc3nc(N)nc(N)c3c2)c1,CHEMBL356279,=,=,IC50,nM,210.0,IC50,nM,210.0
COc1ccc(OC)c(NCc2cnc3nc(N)nc(N)c3c2)c1,CHEMBL424135,=,=,IC50,nM,6100.0,IC50,nM,6100.0
COc1ccc(OC)c(NCc2cnc3nc(N)nc(N)c3c2)c1,CHEMBL424135,=,=,IC50,nM,450.0,IC50,nM,450.0
CN(Cc1cnc2nc(N)nc(N)c2c1)c1ccccc1,CHEMBL146622,=,=,IC50,nM,100000.0,IC50,nM,100000.0
CN(Cc1cnc2nc(N)nc(N)c2c1)c1ccccc1,CHEMBL146622,=,=,Inhibition,%,11.0,Inhibition,%,11.0
